"MEAN","TX","INDIVIDUAL","PROP","xaxis","poblacio"
0,"POST",1,1,"RECEPTOR_NR","Cycling myeloids"
0,"POST",1,1,"SENDER","M2"
0,"POST",2,1,"RECEPTOR_NR","Cycling myeloids"
0,"POST",2,1,"SENDER","Inflammatory monocytes"
0,"POST",3,1,"RECEPTOR_NR","IDA macrophages"
0,"POST",3,1,"SENDER","Inflammatory monocytes"
0.45,"POST",4,1,"RECEPTOR_NR","M2"
0.45,"POST",4,1,"SENDER","DN EOMES"
0,"POST",5,1,"RECEPTOR_NR","DN EOMES"
0,"POST",5,1,"SENDER","M1"
0.419,"POST",6,1,"RECEPTOR_NR","M2"
0.419,"POST",6,1,"SENDER","M1"
0,"POST",7,1,"RECEPTOR_NR","DN EOMES"
0,"POST",7,0,"SENDER","DN EOMES"
0,"POST",8,1,"RECEPTOR_NR","DN EOMES"
0,"POST",8,1,"SENDER","Inflammatory fibroblasts"
0,"POST",9,1,"RECEPTOR_NR","IDA macrophages"
0,"POST",9,1,"SENDER","IDA macrophages"
0,"POST",10,1,"RECEPTOR_NR","Cycling myeloids"
0,"POST",10,1,"SENDER","IDA macrophages"
0,"POST",13,1,"RECEPTOR_R","Cycling myeloids"
0,"POST",13,0,"SENDER","M2"
0,"POST",14,1,"RECEPTOR_R","Cycling myeloids"
0,"POST",14,0,"SENDER","Inflammatory monocytes"
0,"POST",15,1,"RECEPTOR_R","IDA macrophages"
0,"POST",15,0,"SENDER","Inflammatory monocytes"
0,"POST",16,1,"RECEPTOR_R","DN EOMES"
0,"POST",16,0,"SENDER","Inflammatory monocytes"
0,"POST",17,1,"RECEPTOR_R","DN EOMES"
0,"POST",17,0,"SENDER","M1"
0,"POST",18,1,"RECEPTOR_R","DN EOMES"
0,"POST",18,0,"SENDER","IDA macrophages"
0,"POST",19,1,"RECEPTOR_R","DN EOMES"
0,"POST",19,0,"SENDER","DN EOMES"
0,"POST",20,1,"RECEPTOR_R","DN EOMES"
0,"POST",20,0,"SENDER","Inflammatory fibroblasts"
0,"POST",21,1,"RECEPTOR_R","IDA macrophages"
0,"POST",21,0,"SENDER","IDA macrophages"
0,"POST",22,1,"RECEPTOR_R","Cycling myeloids"
0,"POST",22,0,"SENDER","IDA macrophages"
0,"POST",25,1,"RECEPTOR_NR","DN EOMES"
0,"POST",25,1,"RECEPTOR_R","M2"
0,"POST",25,1,"SENDER","Inflammatory monocytes"
0,"POST",26,1,"RECEPTOR_NR","DN EOMES"
0,"POST",26,1,"RECEPTOR_R","M2"
0,"POST",26,1,"SENDER","IDA macrophages"
0,"POST",27,1,"SENDER","M2"
0,"POST",27,0,"RECEPTOR_NR","IDA macrophages"
